"frequency";"r C11";"i C11"
1e+08;4.8609e-13;0
1.5e+08;4.86602e-13;0
2e+08;4.86583e-13;0
2.5e+08;4.86302e-13;0
3e+08;4.85852e-13;0
3.5e+08;4.85273e-13;0
4e+08;4.84584e-13;0
4.5e+08;4.83797e-13;0
5e+08;4.82923e-13;0
5.5e+08;4.81962e-13;0
6e+08;4.80924e-13;0
6.5e+08;4.79807e-13;0
7e+08;4.78618e-13;0
7.5e+08;4.77357e-13;0
8e+08;4.76027e-13;0
8.5e+08;4.74633e-13;0
9e+08;4.73174e-13;0
9.5e+08;4.71652e-13;0
1e+09;4.70072e-13;0
1.05e+09;4.68436e-13;0
1.1e+09;4.66744e-13;0
1.15e+09;4.64999e-13;0
1.2e+09;4.63203e-13;0
1.25e+09;4.6136e-13;0
1.3e+09;4.5947e-13;0
1.35e+09;4.57537e-13;0
1.4e+09;4.55562e-13;0
1.45e+09;4.53548e-13;0
1.5e+09;4.51497e-13;0
1.55e+09;4.49411e-13;0
1.6e+09;4.47293e-13;0
1.65e+09;4.45144e-13;0
1.7e+09;4.42967e-13;0
1.75e+09;4.40764e-13;0
1.8e+09;4.38537e-13;0
1.85e+09;4.36287e-13;0
1.9e+09;4.34019e-13;0
1.95e+09;4.31732e-13;0
2e+09;4.29429e-13;0
2.05e+09;4.27112e-13;0
2.1e+09;4.24783e-13;0
2.15e+09;4.22444e-13;0
2.2e+09;4.20096e-13;0
2.25e+09;4.17742e-13;0
2.3e+09;4.15382e-13;0
2.35e+09;4.13019e-13;0
2.4e+09;4.10654e-13;0
2.45e+09;4.08289e-13;0
2.5e+09;4.05924e-13;0
2.55e+09;4.03563e-13;0
2.6e+09;4.01205e-13;0
2.65e+09;3.98851e-13;0
2.7e+09;3.96505e-13;0
2.75e+09;3.94166e-13;0
2.8e+09;3.91835e-13;0
2.85e+09;3.89514e-13;0
2.9e+09;3.87205e-13;0
2.95e+09;3.84906e-13;0
3e+09;3.8262e-13;0
3.05e+09;3.80347e-13;0
3.1e+09;3.78088e-13;0
3.15e+09;3.75845e-13;0
3.2e+09;3.73617e-13;0
3.25e+09;3.71405e-13;0
3.3e+09;3.6921e-13;0
3.35e+09;3.67033e-13;0
3.4e+09;3.64874e-13;0
3.45e+09;3.62733e-13;0
3.5e+09;3.60611e-13;0
3.55e+09;3.58508e-13;0
3.6e+09;3.56425e-13;0
3.65e+09;3.54362e-13;0
3.7e+09;3.52319e-13;0
3.75e+09;3.50296e-13;0
3.8e+09;3.48295e-13;0
3.85e+09;3.46314e-13;0
3.9e+09;3.44355e-13;0
3.95e+09;3.42416e-13;0
4e+09;3.405e-13;0
4.05e+09;3.38604e-13;0
4.1e+09;3.36731e-13;0
4.15e+09;3.34879e-13;0
4.2e+09;3.33048e-13;0
4.25e+09;3.31239e-13;0
4.3e+09;3.29452e-13;0
4.35e+09;3.27687e-13;0
4.4e+09;3.25943e-13;0
4.45e+09;3.2422e-13;0
4.5e+09;3.22519e-13;0
4.55e+09;3.2084e-13;0
4.6e+09;3.19182e-13;0
4.65e+09;3.17544e-13;0
4.7e+09;3.15928e-13;0
4.75e+09;3.14333e-13;0
4.8e+09;3.12759e-13;0
4.85e+09;3.11205e-13;0
4.9e+09;3.09672e-13;0
4.95e+09;3.08159e-13;0
5e+09;3.06666e-13;0
5.05e+09;3.05193e-13;0
5.1e+09;3.0374e-13;0
5.15e+09;3.02304e-13;0
5.2e+09;3.00893e-13;0
5.25e+09;2.99497e-13;0
5.3e+09;2.98121e-13;0
5.35e+09;2.96764e-13;0
5.4e+09;2.95426e-13;0
5.45e+09;2.94107e-13;0
5.5e+09;2.92804e-13;0
5.55e+09;2.91522e-13;0
5.6e+09;2.90254e-13;0
5.65e+09;2.89006e-13;0
5.7e+09;2.87775e-13;0
5.75e+09;2.86561e-13;0
5.8e+09;2.85363e-13;0
5.85e+09;2.84184e-13;0
5.9e+09;2.8302e-13;0
5.95e+09;2.81873e-13;0
6e+09;2.80741e-13;0
6.05e+09;2.79625e-13;0
6.1e+09;2.78525e-13;0
6.15e+09;2.77442e-13;0
6.2e+09;2.76373e-13;0
6.25e+09;2.75317e-13;0
6.3e+09;2.74279e-13;0
6.35e+09;2.73254e-13;0
6.4e+09;2.72245e-13;0
6.45e+09;2.71249e-13;0
6.5e+09;2.70267e-13;0
6.55e+09;2.69298e-13;0
6.6e+09;2.68344e-13;0
6.65e+09;2.67402e-13;0
6.7e+09;2.66475e-13;0
6.75e+09;2.65561e-13;0
6.8e+09;2.64659e-13;0
6.85e+09;2.6377e-13;0
6.9e+09;2.62893e-13;0
6.95e+09;2.6203e-13;0
7e+09;2.61176e-13;0
7.05e+09;2.60337e-13;0
7.1e+09;2.59508e-13;0
7.15e+09;2.58691e-13;0
7.2e+09;2.57885e-13;0
7.25e+09;2.57092e-13;0
7.3e+09;2.56309e-13;0
7.35e+09;2.55537e-13;0
7.4e+09;2.54776e-13;0
7.45e+09;2.54025e-13;0
7.5e+09;2.53286e-13;0
7.55e+09;2.52556e-13;0
7.6e+09;2.51836e-13;0
7.65e+09;2.51127e-13;0
7.7e+09;2.50426e-13;0
7.75e+09;2.49737e-13;0
7.8e+09;2.49057e-13;0
7.85e+09;2.48386e-13;0
7.9e+09;2.47725e-13;0
7.95e+09;2.47073e-13;0
8e+09;2.46429e-13;0
8.05e+09;2.45795e-13;0
8.1e+09;2.4517e-13;0
8.15e+09;2.44552e-13;0
8.2e+09;2.43942e-13;0
8.25e+09;2.43343e-13;0
8.3e+09;2.42751e-13;0
8.35e+09;2.42168e-13;0
8.4e+09;2.41592e-13;0
8.45e+09;2.41025e-13;0
8.5e+09;2.40465e-13;0
8.55e+09;2.39912e-13;0
8.6e+09;2.39367e-13;0
8.65e+09;2.3883e-13;0
8.7e+09;2.38301e-13;0
8.75e+09;2.37778e-13;0
8.8e+09;2.37262e-13;0
8.85e+09;2.36753e-13;0
8.9e+09;2.36253e-13;0
8.95e+09;2.35758e-13;0
9e+09;2.35271e-13;0
9.05e+09;2.34788e-13;0
9.1e+09;2.34314e-13;0
9.15e+09;2.33844e-13;0
9.2e+09;2.33383e-13;0
9.25e+09;2.32928e-13;0
9.3e+09;2.32478e-13;0
9.35e+09;2.32035e-13;0
9.4e+09;2.31597e-13;0
9.45e+09;2.31166e-13;0
9.5e+09;2.30741e-13;0
9.55e+09;2.30321e-13;0
9.6e+09;2.29906e-13;0
9.65e+09;2.29497e-13;0
9.7e+09;2.29095e-13;0
9.75e+09;2.28698e-13;0
9.8e+09;2.28305e-13;0
9.85e+09;2.27918e-13;0
9.9e+09;2.27535e-13;0
9.95e+09;2.27159e-13;0
1e+10;2.26787e-13;0
