"frequency";"r C33";"i C33"
9.55e+09;2.74488e-13;0
9.6e+09;2.74039e-13;0
9.65e+09;2.73595e-13;0
9.7e+09;2.73157e-13;0
9.75e+09;2.72725e-13;0
9.8e+09;2.72297e-13;0
9.85e+09;2.71876e-13;0
9.9e+09;2.7146e-13;0
9.95e+09;2.71049e-13;0
1e+10;2.70643e-13;0
