"frequency";"r C55";"i C55"
1e+08;5.48668e-13;0
1.5e+08;5.48176e-13;0
2e+08;5.47608e-13;0
2.5e+08;5.46965e-13;0
3e+08;5.46251e-13;0
3.5e+08;5.45471e-13;0
4e+08;5.44628e-13;0
4.5e+08;5.43726e-13;0
5e+08;5.42765e-13;0
5.5e+08;5.4175e-13;0
6e+08;5.4068e-13;0
6.5e+08;5.39555e-13;0
7e+08;5.38374e-13;0
7.5e+08;5.37141e-13;0
8e+08;5.35852e-13;0
8.5e+08;5.34511e-13;0
9e+08;5.33114e-13;0
9.5e+08;5.31667e-13;0
1e+09;5.30169e-13;0
1.05e+09;5.28621e-13;0
1.1e+09;5.27024e-13;0
1.15e+09;5.2538e-13;0
1.2e+09;5.2369e-13;0
1.25e+09;5.21957e-13;0
1.3e+09;5.20181e-13;0
1.35e+09;5.18364e-13;0
1.4e+09;5.16508e-13;0
1.45e+09;5.14616e-13;0
1.5e+09;5.12687e-13;0
1.55e+09;5.10726e-13;0
1.6e+09;5.08733e-13;0
1.65e+09;5.06709e-13;0
1.7e+09;5.04658e-13;0
1.75e+09;5.02579e-13;0
1.8e+09;5.00476e-13;0
1.85e+09;4.9835e-13;0
1.9e+09;4.96204e-13;0
1.95e+09;4.94037e-13;0
2e+09;4.91852e-13;0
2.05e+09;4.89652e-13;0
2.1e+09;4.87437e-13;0
2.15e+09;4.85208e-13;0
2.2e+09;4.82968e-13;0
2.25e+09;4.80718e-13;0
2.3e+09;4.78459e-13;0
2.35e+09;4.76194e-13;0
2.4e+09;4.73922e-13;0
2.45e+09;4.71647e-13;0
2.5e+09;4.69369e-13;0
2.55e+09;4.67088e-13;0
2.6e+09;4.64807e-13;0
2.65e+09;4.62527e-13;0
2.7e+09;4.60248e-13;0
2.75e+09;4.57972e-13;0
2.8e+09;4.557e-13;0
2.85e+09;4.53433e-13;0
2.9e+09;4.51171e-13;0
2.95e+09;4.48917e-13;0
3e+09;4.4667e-13;0
3.05e+09;4.44431e-13;0
3.1e+09;4.42202e-13;0
3.15e+09;4.39982e-13;0
3.2e+09;4.37773e-13;0
3.25e+09;4.35576e-13;0
3.3e+09;4.33391e-13;0
3.35e+09;4.31218e-13;0
3.4e+09;4.29059e-13;0
3.45e+09;4.26913e-13;0
3.5e+09;4.24781e-13;0
3.55e+09;4.22665e-13;0
3.6e+09;4.20563e-13;0
3.65e+09;4.18477e-13;0
3.7e+09;4.16407e-13;0
3.75e+09;4.14354e-13;0
3.8e+09;4.12316e-13;0
3.85e+09;4.10296e-13;0
3.9e+09;4.08293e-13;0
3.95e+09;4.06307e-13;0
4e+09;4.04339e-13;0
4.05e+09;4.02389e-13;0
4.1e+09;4.00457e-13;0
4.15e+09;3.98543e-13;0
4.2e+09;3.96648e-13;0
4.25e+09;3.94771e-13;0
4.3e+09;3.92912e-13;0
4.35e+09;3.91073e-13;0
4.4e+09;3.89252e-13;0
4.45e+09;3.87449e-13;0
4.5e+09;3.85665e-13;0
4.55e+09;3.83901e-13;0
4.6e+09;3.82155e-13;0
4.65e+09;3.80427e-13;0
4.7e+09;3.78721e-13;0
4.75e+09;3.77031e-13;0
4.8e+09;3.75361e-13;0
4.85e+09;3.73707e-13;0
4.9e+09;3.72076e-13;0
4.95e+09;3.70462e-13;0
5e+09;3.68867e-13;0
5.05e+09;3.67287e-13;0
5.1e+09;3.6573e-13;0
5.15e+09;3.64188e-13;0
5.2e+09;3.62665e-13;0
5.25e+09;3.61161e-13;0
5.3e+09;3.59675e-13;0
5.35e+09;3.58205e-13;0
5.4e+09;3.56754e-13;0
5.45e+09;3.55321e-13;0
5.5e+09;3.53904e-13;0
5.55e+09;3.52506e-13;0
5.6e+09;3.51124e-13;0
5.65e+09;3.49761e-13;0
5.7e+09;3.48413e-13;0
5.75e+09;3.47082e-13;0
5.8e+09;3.45767e-13;0
5.85e+09;3.4447e-13;0
5.9e+09;3.43188e-13;0
5.95e+09;3.41922e-13;0
6e+09;3.40672e-13;0
6.05e+09;3.39438e-13;0
6.1e+09;3.3822e-13;0
6.15e+09;3.37017e-13;0
6.2e+09;3.3583e-13;0
6.25e+09;3.34657e-13;0
6.3e+09;3.335e-13;0
6.35e+09;3.32357e-13;0
6.4e+09;3.31228e-13;0
6.45e+09;3.30116e-13;0
6.5e+09;3.29016e-13;0
6.55e+09;3.27931e-13;0
6.6e+09;3.26861e-13;0
6.65e+09;3.25804e-13;0
6.7e+09;3.2476e-13;0
6.75e+09;3.2373e-13;0
6.8e+09;3.22714e-13;0
6.85e+09;3.2171e-13;0
6.9e+09;3.2072e-13;0
6.95e+09;3.19741e-13;0
7e+09;3.18777e-13;0
7.05e+09;3.17824e-13;0
7.1e+09;3.16886e-13;0
7.15e+09;3.15957e-13;0
7.2e+09;3.15041e-13;0
7.25e+09;3.14138e-13;0
7.3e+09;3.13246e-13;0
7.35e+09;3.12366e-13;0
7.4e+09;3.11496e-13;0
7.45e+09;3.10639e-13;0
7.5e+09;3.09794e-13;0
7.55e+09;3.08958e-13;0
7.6e+09;3.08134e-13;0
7.65e+09;3.0732e-13;0
7.7e+09;3.06517e-13;0
7.75e+09;3.05725e-13;0
7.8e+09;3.04945e-13;0
7.85e+09;3.04173e-13;0
7.9e+09;3.03411e-13;0
7.95e+09;3.02659e-13;0
8e+09;3.01916e-13;0
8.05e+09;3.01186e-13;0
8.1e+09;3.00462e-13;0
8.15e+09;2.9975e-13;0
8.2e+09;2.99046e-13;0
8.25e+09;2.9835e-13;0
8.3e+09;2.97666e-13;0
8.35e+09;2.9699e-13;0
8.4e+09;2.96322e-13;0
8.45e+09;2.95664e-13;0
8.5e+09;2.95014e-13;0
8.55e+09;2.94372e-13;0
8.6e+09;2.93739e-13;0
8.65e+09;2.93114e-13;0
8.7e+09;2.92497e-13;0
8.75e+09;2.91888e-13;0
8.8e+09;2.91288e-13;0
8.85e+09;2.90695e-13;0
8.9e+09;2.9011e-13;0
8.95e+09;2.89532e-13;0
9e+09;2.88963e-13;0
9.05e+09;2.88401e-13;0
9.1e+09;2.87846e-13;0
9.15e+09;2.87298e-13;0
9.2e+09;2.86758e-13;0
9.25e+09;2.86225e-13;0
9.3e+09;2.85698e-13;0
9.35e+09;2.85179e-13;0
9.4e+09;2.84666e-13;0
9.45e+09;2.8416e-13;0
9.5e+09;2.83661e-13;0
9.55e+09;2.83169e-13;0
9.6e+09;2.82683e-13;0
9.65e+09;2.82203e-13;0
9.7e+09;2.8173e-13;0
9.75e+09;2.81262e-13;0
9.8e+09;2.80801e-13;0
9.85e+09;2.80346e-13;0
9.9e+09;2.79898e-13;0
9.95e+09;2.79454e-13;0
1e+10;2.79018e-13;0
